slot_id,physical_page,page_code,printed_page,price_key,size,x_in,y_in,width_in,height_in,fpe,seed_price_usd,sale_mode,initial_status,public_board,placement_status
ISSUE-TEMPLATE-P15-FULL-01,17,P15,15,AD_FULL,FULL,0.5,0.5,7.5,10,1,799,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P23-FULL-02,25,P23,23,AD_FULL,FULL,0.5,0.5,7.5,10,1,799,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P31-FULL-03,33,P31,31,AD_FULL,FULL,0.5,0.5,7.5,10,1,799,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P41-FULL-04,43,P41,41,AD_FULL,FULL,0.5,0.5,7.5,10,1,799,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P79-FULL-05,81,P79,79,AD_FULL,FULL,0.5,0.5,7.5,10,1,799,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P05-HALF-01,7,P05,5,AD_HALF,HALF,0.5,0.5,7.5,5,0.5,399,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P19-HALF-02,21,P19,19,AD_HALF,HALF,0.5,0.5,7.5,5,0.5,399,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P35-HALF-03,37,P35,35,AD_HALF,HALF,0.5,0.5,7.5,5,0.5,399,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P49-HALF-04,51,P49,49,AD_HALF,HALF,0.5,0.5,7.5,5,0.5,399,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P07-THIRD_VERTICAL-01,9,P07,7,AD_THIRD_VERTICAL,THIRD_VERTICAL,5.5,0.5,2.5,10,0.3333333333333333,299,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P17-THIRD_VERTICAL-02,19,P17,17,AD_THIRD_VERTICAL,THIRD_VERTICAL,5.5,0.5,2.5,10,0.3333333333333333,299,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P27-THIRD_VERTICAL-03,29,P27,27,AD_THIRD_VERTICAL,THIRD_VERTICAL,5.5,0.5,2.5,10,0.3333333333333333,299,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P37-THIRD_VERTICAL-04,39,P37,37,AD_THIRD_VERTICAL,THIRD_VERTICAL,5.5,0.5,2.5,10,0.3333333333333333,299,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P47-THIRD_VERTICAL-05,49,P47,47,AD_THIRD_VERTICAL,THIRD_VERTICAL,5.5,0.5,2.5,10,0.3333333333333333,299,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P57-THIRD_VERTICAL-06,59,P57,57,AD_THIRD_VERTICAL,THIRD_VERTICAL,5.5,0.5,2.5,10,0.3333333333333333,299,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P65-THIRD_VERTICAL-07,67,P65,65,AD_THIRD_VERTICAL,THIRD_VERTICAL,5.5,0.5,2.5,10,0.3333333333333333,299,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P73-THIRD_VERTICAL-08,75,P73,73,AD_THIRD_VERTICAL,THIRD_VERTICAL,5.5,0.5,2.5,10,0.3333333333333333,299,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P81-THIRD_VERTICAL-09,83,P81,81,AD_THIRD_VERTICAL,THIRD_VERTICAL,5.5,0.5,2.5,10,0.3333333333333333,299,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P09-QUARTER-01,11,P09,9,AD_QUARTER,QUARTER,0.5,0.5,3.75,5,0.25,199,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P09-QUARTER-02,11,P09,9,AD_QUARTER,QUARTER,4.25,0.5,3.75,5,0.25,199,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P21-QUARTER-03,23,P21,21,AD_QUARTER,QUARTER,0.5,0.5,3.75,5,0.25,199,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
ISSUE-TEMPLATE-P21-QUARTER-04,23,P21,21,AD_QUARTER,QUARTER,4.25,0.5,3.75,5,0.25,199,CLICK_TO_BUY,DRAFT_ADMIN_REVIEW,true,RECONSTRUCTED_REQUIRES_VISUAL_QA
