opportunity_id,physical_page,page_code,page_title,frame_type,content_need,label,claimable_by,required_tags,target_words,status,match_mode,payment_eligible,analytics_id
ISSUE-TEMPLATE-C1-FRONT-IMAGE-01,1,C1,Anna LIFE Cover,IMAGE,PHOTO_OR_ARTWORK,COVER HERO IMAGE,PRESS_PASS_PHOTOGRAPHER / ARTIST / PHOTO_EDITOR,"anna texas, front matter, anna life cover, image, life, cover, front, matter, hero, local photography",,OPEN,AI CANDIDATES + HUMAN SAVE,true,ANALYTICS-ISSUE-TEMPLATE-C1-FRONT-IMAGE-01
ISSUE-TEMPLATE-C1-FRONT-TEXT-01,1,C1,Anna LIFE Cover,TEXT,ARTICLE_OR_COPY,ISSUE DATE + THEME,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, front matter, anna life cover, text, life, cover, front, matter, issue, date",150-450,OPEN,EDITORIAL_SELECTION,false,ANALYTICS-ISSUE-TEMPLATE-C1-FRONT-TEXT-01
ISSUE-TEMPLATE-C1-FRONT-TEXT-02,1,C1,Anna LIFE Cover,TEXT,ARTICLE_OR_COPY,COVER STORY HEADLINE + DECK,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, front matter, anna life cover, text, life, cover, front, matter, headline, deck",15-75,OPEN,EDITORIAL_SELECTION,false,ANALYTICS-ISSUE-TEMPLATE-C1-FRONT-TEXT-02
ISSUE-TEMPLATE-C2-COVER-IFC,2,C2,Inside Front Cover Partner,AD,SPONSOR,INSIDE_FRONT / COVER_IFC,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, front matter, inside front cover partner, ad, inside, front, cover, partner, matter, ifc",,DRAFT_ADMIN_REVIEW,PAID_PLACEMENT,false,ANALYTICS-ISSUE-TEMPLATE-C2-COVER-IFC
ISSUE-TEMPLATE-P01-FRONT-IMAGE-01,3,P01,Welcome / Founder's Letter,IMAGE,PHOTO_OR_ARTWORK,EDITOR / COMMUNITY PORTRAIT,PRESS_PASS_PHOTOGRAPHER / ARTIST / PHOTO_EDITOR,"anna texas, front matter, welcome / founder's letter, image, welcome, founder, letter, front, matter, editor",,OPEN,AI CANDIDATES + HUMAN SAVE,true,ANALYTICS-ISSUE-TEMPLATE-P01-FRONT-IMAGE-01
ISSUE-TEMPLATE-P01-FRONT-TEXT-01,3,P01,Welcome / Founder's Letter,TEXT,ARTICLE_OR_COPY,EDITOR LETTER + ISSUE THEME,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, front matter, welcome / founder's letter, text, welcome, founder, letter, front, matter, editor",400-800,OPEN,EDITORIAL_SELECTION,false,ANALYTICS-ISSUE-TEMPLATE-P01-FRONT-TEXT-01
ISSUE-TEMPLATE-P01-FRONT-TEXT-02,3,P01,Welcome / Founder's Letter,TEXT,ARTICLE_OR_COPY,MASTHEAD + CONTACTS,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, front matter, welcome / founder's letter, text, welcome, founder, letter, front, matter, masthead",150-450,OPEN,VERIFIED_QUERY,false,ANALYTICS-ISSUE-TEMPLATE-P01-FRONT-TEXT-02
ISSUE-TEMPLATE-P01-FRONT-TEXT-03,3,P01,Welcome / Founder's Letter,TEXT,ARTICLE_OR_COPY,MISSION + EDITORIAL FIREWALL,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, front matter, welcome / founder's letter, text, welcome, founder, letter, front, matter, mission",400-800,OPEN,EDITORIAL_SELECTION,false,ANALYTICS-ISSUE-TEMPLATE-P01-FRONT-TEXT-03
ISSUE-TEMPLATE-P02-FRONT-IMAGE-01,4,P02,Contents I,IMAGE,PHOTO_OR_ARTWORK,Contents I / FEATURE PREVIEW IMAGE,PRESS_PASS_PHOTOGRAPHER / ARTIST / PHOTO_EDITOR,"anna texas, front matter, contents i, image, contents, front, matter, feature, preview, local photography",,OPEN,AI CANDIDATES + HUMAN SAVE,false,ANALYTICS-ISSUE-TEMPLATE-P02-FRONT-IMAGE-01
ISSUE-TEMPLATE-P02-FRONT-IMAGE-02,4,P02,Contents I,IMAGE,PHOTO_OR_ARTWORK,Contents I / SECONDARY PREVIEW IMAGE,PRESS_PASS_PHOTOGRAPHER / ARTIST / PHOTO_EDITOR,"anna texas, front matter, contents i, image, contents, front, matter, secondary, preview, local photography",,OPEN,AI CANDIDATES + HUMAN SAVE,false,ANALYTICS-ISSUE-TEMPLATE-P02-FRONT-IMAGE-02
ISSUE-TEMPLATE-P02-FRONT-TEXT-01,4,P02,Contents I,TEXT,ARTICLE_OR_COPY,Contents I / RECURRING CONTENT LIST,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, front matter, contents i, text, contents, front, matter, recurring, content, local voices",400-800,OPEN,VERIFIED_QUERY,false,ANALYTICS-ISSUE-TEMPLATE-P02-FRONT-TEXT-01
ISSUE-TEMPLATE-P02-FRONT-TEXT-02,4,P02,Contents I,TEXT,ARTICLE_OR_COPY,CONTRIBUTOR + ADVERTISER NAVIGATION,PRESS_PASS_WRITER / SIERRA_GRACE_EDITOR,"anna texas, front matter, contents i, text, contents, front, matter, contributor, advertiser, navigation",400-800,OPEN,VERIFIED_QUERY,false,ANALYTICS-ISSUE-TEMPLATE-P02-FRONT-TEXT-02
